userid,key,summary,agent1,agent2,selected,value,time,correct,betterAgent,worseAgent,comparisonType
c5a3ea5b,correct,random,400,2000,400,FALSE,1.50817E+12,0,2000,400,2
4dd3e872,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
98b3eaef,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
dfd3e9ba,correct,random,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
3db3e922,correct,max,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
6bd3e974,correct,random,2000,200,200,FALSE,1.50817E+12,0,2000,200,3
6dd3e960,correct,max,200,400,200,FALSE,1.50817E+12,0,400,200,1
c1a3e969,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
49f3ea04,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
c5a3e9ad,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
4dd3e872,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
dfd3e9ba,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
6dd3e960,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,max,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
6bd3e974,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
36e3e9b0,correct,maxdiv,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
3db3e922,correct,random,200,400,200,FALSE,1.50817E+12,0,400,200,1
98b3eaef,correct,maxdiv,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
c5a3ea5b,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
4dd3e872,correct,random,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
6dd3e960,correct,max,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
c5a3e9ad,correct,random,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
36e3e9b0,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
4dd3e872,correct,max,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
98b3eaef,correct,random,200,2000,200,FALSE,1.50817E+12,0,2000,200,3
3db3e922,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
49f3ea04,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
6dd3e960,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
98b3eaef,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
4dd3e872,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
c5a3ea5b,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
3db3e922,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
36e3e9b0,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
6dd3e960,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
98b3eaef,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
c5a3e9ad,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
36e3e9b0,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
49f3ea04,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
36e3e9b0,correct,random,200,400,400,TRUE,1.50818E+12,1,400,200,1
6dd3e960,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
98b3eaef,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
adf3ecbe,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
36e3e9b0,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
c5a3e9ad,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
