userid,key,condition,agent1,agent2,correct,worseAgent,betterAgent,compType
53f29622,correct,first,400,200,0,200,400,1
53f29622,correct,max,200,2000,1,200,2000,3
53f29622,correct,max,2000,400,0,400,2000,2
53f29622,correct,random,400,200,1,200,400,1
58d296ab,correct,random,400,2000,0,400,2000,2
53f29622,correct,first,400,2000,1,400,2000,2
c4a2972c,correct,max,200,400,0,200,400,1
58d296ab,correct,random,200,2000,0,200,2000,3
53f29622,correct,random,400,2000,0,400,2000,2
50b29693,correct,first,200,2000,0,200,2000,3
c4a2972c,correct,random,2000,200,1,200,2000,3
58d296ab,correct,max,200,400,1,200,400,1
53f29622,correct,max,400,200,0,200,400,1
c4a2972c,correct,random,2000,400,0,400,2000,2
50b29693,correct,first,400,2000,0,400,2000,2
b1b2976a,correct,random,400,200,1,200,400,1
53f29622,correct,random,200,2000,0,200,2000,3
c4a2972c,correct,random,200,400,0,200,400,1
58d296ab,correct,first,2000,400,0,400,2000,2
b1b2976a,correct,random,2000,200,1,200,2000,3
53f29622,correct,first,200,2000,0,200,2000,3
50b29693,correct,max,2000,200,1,200,2000,3
c4a2972c,correct,first,200,2000,0,200,2000,3
58d296ab,correct,first,200,400,0,200,400,1
b1b2976a,correct,first,2000,400,0,400,2000,2
c4a2972c,correct,max,2000,400,1,400,2000,2
50b29693,correct,first,400,200,0,200,400,1
b1b2976a,correct,first,2000,200,0,200,2000,3
c4a2972c,correct,first,200,400,1,200,400,1
58d296ab,correct,first,200,2000,0,200,2000,3
50b29693,correct,max,400,200,0,200,400,1
b1b2976a,correct,max,2000,400,1,400,2000,2
c4a2972c,correct,first,2000,400,0,400,2000,2
50b29693,correct,random,400,2000,1,400,2000,2
b1b2976a,correct,random,400,2000,1,400,2000,2
58d296ab,correct,max,2000,400,1,400,2000,2
c4a2972c,correct,max,2000,200,0,200,2000,3
50b29693,correct,random,2000,200,1,200,2000,3
b1b2976a,correct,max,200,400,1,200,400,1
b1b2976a,correct,first,400,200,0,200,400,1
50b29693,correct,random,200,400,0,200,400,1
b1b2976a,correct,max,2000,200,1,200,2000,3
58d296ab,correct,random,400,200,0,200,400,1
49a298f1,correct,max,2000,200,0,200,2000,3
50b29693,correct,max,2000,400,0,400,2000,2
58d296ab,correct,max,2000,200,1,200,2000,3
abf299f0,correct,random,400,2000,0,400,2000,2
abf299f0,correct,random,2000,200,0,200,2000,3
49a298f1,correct,first,200,400,0,200,400,1
abf299f0,correct,random,200,400,0,200,400,1
b5b29b74,correct,random,2000,400,1,400,2000,2
49a298f1,correct,max,400,2000,1,400,2000,2
1db29b40,correct,max,200,400,0,200,400,1
abf299f0,correct,first,200,400,0,200,400,1
9be29b07,correct,random,2000,200,1,200,2000,3
b5b29b74,correct,first,200,2000,1,200,2000,3
1db29b40,correct,random,400,2000,1,400,2000,2
abf299f0,correct,first,2000,200,0,200,2000,3
49a298f1,correct,first,400,2000,1,400,2000,2
b5b29b74,correct,max,2000,400,1,400,2000,2
1db29b40,correct,first,400,200,0,200,400,1
dbc29b73,correct,random,400,200,1,200,400,1
9be29b07,correct,max,400,200,0,200,400,1
b5b29b74,correct,max,200,2000,1,200,2000,3
abf299f0,correct,max,400,2000,1,400,2000,2
1db29b40,correct,random,200,2000,1,200,2000,3
dbc29b73,correct,random,200,2000,1,200,2000,3
49a298f1,correct,random,400,200,1,200,400,1
1db29b40,correct,first,200,2000,0,200,2000,3
b5b29b74,correct,max,200,400,1,200,400,1
9be29b07,correct,random,400,200,0,200,400,1
abf299f0,correct,max,400,200,1,200,400,1
1db29b40,correct,max,2000,400,1,400,2000,2
dbc29b73,correct,first,400,200,0,200,400,1
1db29b40,correct,max,2000,200,1,200,2000,3
49a298f1,correct,random,2000,400,1,400,2000,2
abf299f0,correct,first,2000,400,0,400,2000,2
9be29b07,correct,first,400,200,0,200,400,1
b5b29b74,correct,random,2000,200,1,200,2000,3
1db29b40,correct,random,400,200,0,200,400,1
dbc29b73,correct,random,2000,400,1,400,2000,2
9be29b07,correct,first,200,2000,0,200,2000,3
abf299f0,correct,max,2000,200,1,200,2000,3
1db29b40,correct,first,2000,400,0,400,2000,2
b5b29b74,correct,random,200,400,0,200,400,1
9be29b07,correct,max,200,2000,1,200,2000,3
dbc29b73,correct,first,2000,400,1,400,2000,2
49a298f1,correct,max,200,400,1,200,400,1
b5b29b74,correct,first,200,400,1,200,400,1
e7c29d29,correct,random,2000,200,0,200,2000,3
9be29b07,correct,first,400,2000,0,400,2000,2
bab29c29,correct,max,2000,200,1,200,2000,3
dbc29b73,correct,max,200,2000,1,200,2000,3
e7c29d29,correct,max,200,400,1,200,400,1
b5b29b74,correct,first,400,2000,1,400,2000,2
49a298f1,correct,random,2000,200,0,200,2000,3
9be29b07,correct,random,2000,400,0,400,2000,2
e7c29d29,correct,random,2000,400,0,400,2000,2
bab29c29,correct,first,400,200,0,200,400,1
9be29b07,correct,max,400,2000,1,400,2000,2
e7c29d29,correct,first,2000,400,0,400,2000,2
dbc29b73,correct,max,400,2000,0,400,2000,2
e7c29d29,correct,first,400,200,0,200,400,1
49a298f1,correct,first,200,2000,1,200,2000,3
bab29c29,correct,random,200,2000,1,200,2000,3
e7c29d29,correct,max,200,2000,1,200,2000,3
dbc29b73,correct,max,200,400,1,200,400,1
e7c29d29,correct,random,200,400,0,200,400,1
e7c29d29,correct,first,2000,200,0,200,2000,3
84c29e7c,correct,random,2000,400,1,400,2000,2
e7c29d29,correct,max,2000,400,1,400,2000,2
dbc29b73,correct,first,200,2000,0,200,2000,3
bab29c29,correct,first,400,2000,0,400,2000,2
84c29e7c,correct,first,400,200,0,200,400,1
84c29e7c,correct,max,2000,200,1,200,2000,3
bab29c29,correct,max,2000,400,0,400,2000,2
84c29e7c,correct,random,400,200,1,200,400,1
bab29c29,correct,random,400,2000,1,400,2000,2
84c29e7c,correct,max,400,2000,1,400,2000,2
84c29e7c,correct,max,400,200,1,200,400,1
bab29c29,correct,first,2000,200,0,200,2000,3
c2a29e7e,correct,random,200,2000,1,200,2000,3
9ef29fbb,correct,first,200,400,0,200,400,1
84c29e7c,correct,first,2000,200,0,200,2000,3
bab29c29,correct,random,200,400,1,200,400,1
84c29e7c,correct,first,2000,400,1,400,2000,2
c2a29e7e,correct,max,400,200,1,200,400,1
9ef29fbb,correct,random,400,2000,1,400,2000,2
84c29e7c,correct,random,2000,200,1,200,2000,3
bab29c29,correct,max,400,200,1,200,400,1
c2a29e7e,correct,random,400,200,0,200,400,1
6de29ff1,correct,random,400,2000,0,400,2000,2
9ef29fbb,correct,max,200,2000,1,200,2000,3
73d2a080,correct,first,2000,400,0,400,2000,2
6de29ff1,correct,first,400,2000,0,400,2000,2
73d2a080,correct,max,200,2000,1,200,2000,3
c2a29e7e,correct,first,2000,400,1,400,2000,2
9ef29fbb,correct,first,2000,400,0,400,2000,2
73d2a080,correct,random,2000,400,0,400,2000,2
6de29ff1,correct,max,200,2000,1,200,2000,3
c2a29e7e,correct,first,200,400,0,200,400,1
9ef29fbb,correct,max,400,200,1,200,400,1
73d2a080,correct,max,400,200,1,200,400,1
6de29ff1,correct,first,200,400,0,200,400,1
73d2a080,correct,max,2000,400,0,400,2000,2
9ef29fbb,correct,first,200,2000,0,200,2000,3
c2a29e7e,correct,random,2000,400,1,400,2000,2
9ef29fbb,correct,random,200,2000,1,200,2000,3
73d2a080,correct,first,200,400,0,200,400,1
c2a29e7e,correct,first,2000,200,0,200,2000,3
73d2a080,correct,random,400,200,1,200,400,1
c2a29e7e,correct,max,2000,400,1,400,2000,2
73d2a080,correct,first,2000,200,0,200,2000,3
9ef29fbb,correct,random,400,200,0,200,400,1
c2a29e7e,correct,max,2000,200,1,200,2000,3
6de29ff1,correct,first,2000,200,0,200,2000,3
73d2a080,correct,random,200,2000,1,200,2000,3
9ef29fbb,correct,max,2000,400,1,400,2000,2
6de29ff1,correct,max,400,200,0,200,400,1
6de29ff1,correct,random,400,200,0,200,400,1
6de29ff1,correct,max,400,2000,1,400,2000,2
6de29ff1,correct,random,200,2000,0,200,2000,3
1ec2a554,correct,max,2000,200,1,200,2000,3
1ec2a554,correct,max,200,400,1,200,400,1
1ec2a554,correct,first,200,400,0,200,400,1
1ec2a554,correct,first,400,2000,1,400,2000,2
1ec2a554,correct,random,200,400,0,200,400,1
1ec2a554,correct,random,400,2000,1,400,2000,2
